country,source_title,excerpt,geo_location,water_source,sanitation_type,sector,gender,age_group,income_level,infrastructure_type,population_density,climate_zone,year,organization,source_type,special_needs_group,severity,water_color,water_clarity,water_odor,recent_rain,nearby_activities,nearby_infrastructure,vegetation_near_source,waste_disposal_nearby,animal_access,water_flow_rate
Bangladesh,Aid Workers Warn of Contamination Risks,No treatment observed; water smells foul and residents rely on unsafe open sources.,-44.3832625,Truck Delivery,Open Defecation,Agriculture,Female,Youth,Middle,Refugee Camp,Sparse,Temperate,2017,Water.org,Academic Paper,Children Under 5,Unsafe,brown,turbid,sewage,no,mining,none,dead,none,no,flowing
Kenya,UNICEF Field Report on Water Quality,"Residents now report consistent access to clean, odorless, and safe water.",49.267622,Rainwater,Open Defecation,Education,Female,Adult,Middle,Rural Village,Dense,Arid,2017,Red Cross,Field Survey,Children Under 5,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Bangladesh,Local Health Board: Water Safety Achieved,"Residents now report consistent access to clean, odorless, and safe water.",81.8851425,Well,Composting Toilet,Health,Female,Youth,Middle,Refugee Camp,Medium,Arid,2020,UNICEF,Academic Paper,Disabled,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Somalia,Aid Workers Warn of Contamination Risks,Contaminated water sources have led to increased diarrheal diseases among children.,60.252565,Protected Spring,Open Defecation,Health,Male,Elderly,High,Refugee Camp,Sparse,Semi-Arid,2024,Red Cross,Field Survey,Disabled,Unsafe,brown,cloudy,none,no,none,waste facilities,dead,none,no,flowing
Somalia,Outbreak Sparks Sanitation Review,Contaminated water sources have led to increased diarrheal diseases among children.,16.2212895,Piped Water,Flush Toilet,Public Infrastructure,Male,Adult,High,Peri-Urban,Medium,Semi-Arid,2016,Red Cross,Academic Paper,Pregnant Women,Unsafe,green,clear,chemical,no,farming,none,lush,managed sites,no,slow
Haiti,Local Health Board: Water Safety Achieved,Public health officials confirm improved sanitation infrastructure and hygiene practices.,83.194241,Protected Spring,Flush Toilet,Health,Female,Adult,High,Urban Slum,Dense,Arid,2020,Water.org,Gov Report,Elderly,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Bangladesh,Red Cross Reports Severe Water Crisis,No treatment observed; water smells foul and residents rely on unsafe open sources.,-32.5025935,Well,Open Defecation,Public Infrastructure,Female,Elderly,High,Urban Slum,Sparse,Arid,2021,UNICEF,NGO Report,,Unsafe,green,turbid,chemical,yes,farming,waste facilities,lush,managed sites,yes,stagnant
DR Congo,WHO Update: Improved Sanitation Efforts,Public health officials confirm improved sanitation infrastructure and hygiene practices.,34.5797585,Protected Spring,Open Defecation,Health,Male,Adult,High,Peri-Urban,Sparse,Semi-Arid,2018,Water.org,NGO Report,Disabled,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Haiti,Outbreak Sparks Sanitation Review,"Field reports indicate raw sewage mixes with local water, posing high health risks.",29.6092825,Piped Water,Flush Toilet,Public Infrastructure,Male,Adult,Low,Refugee Camp,Medium,Arid,2019,Save the Children,Academic Paper,Children Under 5,Unsafe,murky,clear,sewage,yes,sewage treatment,sewage lines,sparse,managed sites,yes,flowing
Nepal,Local Health Board: Water Safety Achieved,Treated water systems have significantly reduced reported illnesses in the area.,-41.913562,Piped Water,Composting Toilet,Health,Male,Elderly,Middle,Urban Slum,Sparse,Temperate,2024,UNICEF,Gov Report,Disabled,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Kenya,Aid Workers Warn of Contamination Risks,"Field reports indicate raw sewage mixes with local water, posing high health risks.",-57.0250345,River,Composting Toilet,Health,Female,Youth,High,Peri-Urban,Sparse,Temperate,2025,Save the Children,NGO Report,Disabled,Unsafe,brown,turbid,none,no,mining,none,dead,managed sites,no,flowing
DR Congo,Aid Workers Warn of Contamination Risks,"Field reports indicate raw sewage mixes with local water, posing high health risks.",-14.84418,Borehole,Flush Toilet,Education,Female,Adult,Low,Rural Village,Medium,Tropical,2018,Red Cross,Academic Paper,Elderly,Unsafe,green,clear,chemical,no,none,sewage lines,dead,none,no,flowing
Somalia,UNICEF Field Report on Water Quality,"Residents now report consistent access to clean, odorless, and safe water.",-38.674548,Well,Pit Latrine,Public Infrastructure,Male,Youth,High,Rural Village,Medium,Temperate,2025,Save the Children,Academic Paper,Elderly,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Nigeria,WHO Update: Improved Sanitation Efforts,Public health officials confirm improved sanitation infrastructure and hygiene practices.,-20.8829605,Truck Delivery,Composting Toilet,Education,Female,Elderly,Middle,Urban Slum,Medium,Semi-Arid,2019,Water.org,NGO Report,,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Ethiopia,Red Cross Reports Severe Water Crisis,No treatment observed; water smells foul and residents rely on unsafe open sources.,23.557794,Borehole,Pit Latrine,Education,Male,Youth,Middle,Urban Slum,Medium,Temperate,2022,Save the Children,Academic Paper,,Unsafe,brown,clear,chemical,no,sewage treatment,none,dead,open dumping,no,slow
Nigeria,UNICEF Field Report on Water Quality,Public health officials confirm improved sanitation infrastructure and hygiene practices.,66.78035,Rainwater,Composting Toilet,Education,Female,Child,Middle,Rural Village,Sparse,Temperate,2017,Save the Children,Gov Report,Pregnant Women,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Somalia,Red Cross Reports Severe Water Crisis,Contaminated water sources have led to increased diarrheal diseases among children.,-83.548918,Protected Spring,Flush Toilet,Agriculture,Female,Adult,Low,Refugee Camp,Sparse,Temperate,2017,Red Cross,Gov Report,Elderly,Unsafe,brown,clear,chemical,no,none,waste facilities,lush,none,yes,flowing
Somalia,Outbreak Sparks Sanitation Review,"Field reports indicate raw sewage mixes with local water, posing high health risks.",-79.1395315,Borehole,Open Defecation,Health,Female,Youth,Middle,Refugee Camp,Sparse,Semi-Arid,2024,Water.org,Academic Paper,,Unsafe,murky,turbid,sewage,no,none,none,lush,none,yes,slow
Haiti,Aid Workers Warn of Contamination Risks,Contaminated water sources have led to increased diarrheal diseases among children.,39.991151,Piped Water,Composting Toilet,Agriculture,Female,Elderly,Middle,Rural Village,Dense,Temperate,2018,Red Cross,Field Survey,Children Under 5,Unsafe,green,clear,sewage,yes,mining,none,lush,managed sites,yes,flowing
Nepal,UNICEF Field Report on Water Quality,"Residents now report consistent access to clean, odorless, and safe water.",-43.6951515,Piped Water,Flush Toilet,Public Infrastructure,Female,Adult,High,Urban Slum,Dense,Tropical,2017,Save the Children,Field Survey,Elderly,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Uganda,Local Health Board: Water Safety Achieved,"Residents now report consistent access to clean, odorless, and safe water.",-80.094154,Truck Delivery,Flush Toilet,Health,Female,Youth,Low,Refugee Camp,Medium,Semi-Arid,2016,WHO,Academic Paper,Disabled,Safe,green,clear,none,no,sewage treatment,sewage lines,dead,managed sites,no,flowing
Ethiopia,Aid Workers Warn of Contamination Risks,"Field reports indicate raw sewage mixes with local water, posing high health risks.",18.5680835,River,Pit Latrine,Public Infrastructure,Male,Youth,High,Peri-Urban,Sparse,Temperate,2018,Red Cross,NGO Report,Elderly,Unsafe,brown,clear,none,no,farming,waste facilities,sparse,managed sites,no,flowing
Ethiopia,UNICEF Field Report on Water Quality,"Residents now report consistent access to clean, odorless, and safe water.",73.8023895,Rainwater,Flush Toilet,Agriculture,Male,Youth,High,Peri-Urban,Dense,Semi-Arid,2016,Save the Children,NGO Report,Elderly,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Bangladesh,Red Cross Reports Severe Water Crisis,Contaminated water sources have led to increased diarrheal diseases among children.,-52.616711,Well,Open Defecation,Agriculture,Female,Child,Low,Rural Village,Sparse,Temperate,2016,Save the Children,Field Survey,,Unsafe,brown,cloudy,sewage,yes,sewage treatment,none,sparse,open dumping,yes,flowing
Ethiopia,Red Cross Reports Severe Water Crisis,No treatment observed; water smells foul and residents rely on unsafe open sources.,-26.792092,Piped Water,Pit Latrine,Health,Male,Elderly,High,Refugee Camp,Dense,Tropical,2023,Water.org,Academic Paper,Children Under 5,Unsafe,brown,cloudy,chemical,yes,mining,sewage lines,dead,none,no,flowing
Somalia,Outbreak Sparks Sanitation Review,Contaminated water sources have led to increased diarrheal diseases among children.,-20.093497,Well,Pit Latrine,Education,Male,Youth,Middle,Rural Village,Medium,Semi-Arid,2025,Save the Children,NGO Report,Elderly,Unsafe,clear,cloudy,chemical,no,sewage treatment,waste facilities,sparse,managed sites,no,flowing
Ethiopia,Outbreak Sparks Sanitation Review,Contaminated water sources have led to increased diarrheal diseases among children.,-18.193496,Borehole,Pit Latrine,Agriculture,Male,Youth,Middle,Peri-Urban,Dense,Temperate,2017,Save the Children,Field Survey,Elderly,Unsafe,murky,clear,sewage,yes,mining,none,sparse,none,no,slow
Somalia,Outbreak Sparks Sanitation Review,"Field reports indicate raw sewage mixes with local water, posing high health risks.",43.2511885,Borehole,Composting Toilet,Agriculture,Male,Adult,High,Rural Village,Medium,Tropical,2021,Water.org,Field Survey,Children Under 5,Unsafe,green,turbid,none,no,none,sewage lines,dead,open dumping,yes,slow
Bangladesh,Outbreak Sparks Sanitation Review,Contaminated water sources have led to increased diarrheal diseases among children.,47.034447,Protected Spring,Composting Toilet,Education,Female,Elderly,Middle,Peri-Urban,Medium,Semi-Arid,2024,WHO,Gov Report,,Unsafe,murky,turbid,sewage,no,mining,waste facilities,dead,open dumping,no,slow
Nepal,Red Cross Reports Severe Water Crisis,Contaminated water sources have led to increased diarrheal diseases among children.,-74.3715005,Truck Delivery,Pit Latrine,Public Infrastructure,Male,Child,Middle,Peri-Urban,Sparse,Temperate,2017,Red Cross,Gov Report,Elderly,Unsafe,murky,cloudy,sewage,no,farming,none,lush,none,yes,flowing
Haiti,Local Health Board: Water Safety Achieved,Treated water systems have significantly reduced reported illnesses in the area.,-44.2988585,River,Open Defecation,Agriculture,Male,Child,High,Peri-Urban,Sparse,Tropical,2021,Save the Children,Field Survey,Elderly,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Somalia,Local Health Board: Water Safety Achieved,Public health officials confirm improved sanitation infrastructure and hygiene practices.,-54.0864915,Well,Flush Toilet,Agriculture,Female,Youth,Low,Refugee Camp,Sparse,Semi-Arid,2016,Red Cross,Gov Report,Children Under 5,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Bangladesh,UNICEF Field Report on Water Quality,"Residents now report consistent access to clean, odorless, and safe water.",-52.8828475,Truck Delivery,Open Defecation,Agriculture,Female,Child,Middle,Peri-Urban,Dense,Arid,2022,Water.org,Academic Paper,Pregnant Women,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Uganda,UNICEF Field Report on Water Quality,Treated water systems have significantly reduced reported illnesses in the area.,-66.6354835,River,Flush Toilet,Health,Male,Youth,High,Refugee Camp,Dense,Arid,2023,WHO,Field Survey,Pregnant Women,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Uganda,WHO Update: Improved Sanitation Efforts,"Residents now report consistent access to clean, odorless, and safe water.",-51.354711,Piped Water,Composting Toilet,Agriculture,Female,Elderly,High,Refugee Camp,Medium,Arid,2022,UNICEF,NGO Report,Pregnant Women,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Ethiopia,Red Cross Reports Severe Water Crisis,No treatment observed; water smells foul and residents rely on unsafe open sources.,65.492763,Well,Pit Latrine,Public Infrastructure,Male,Elderly,Middle,Refugee Camp,Medium,Arid,2024,Save the Children,Field Survey,Disabled,Unsafe,murky,clear,sewage,yes,farming,sewage lines,lush,none,no,stagnant
India,Outbreak Sparks Sanitation Review,Contaminated water sources have led to increased diarrheal diseases among children.,57.7117105,Rainwater,Flush Toilet,Education,Male,Child,Middle,Refugee Camp,Dense,Temperate,2017,Red Cross,Gov Report,Children Under 5,Unsafe,green,turbid,none,no,farming,sewage lines,dead,open dumping,no,slow
Nepal,UNICEF Field Report on Water Quality,"Residents now report consistent access to clean, odorless, and safe water.",-84.8881525,Rainwater,Composting Toilet,Public Infrastructure,Female,Elderly,Middle,Urban Slum,Medium,Semi-Arid,2015,Water.org,Academic Paper,Pregnant Women,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Haiti,Aid Workers Warn of Contamination Risks,No treatment observed; water smells foul and residents rely on unsafe open sources.,-18.4015305,Borehole,Open Defecation,Public Infrastructure,Female,Adult,High,Rural Village,Medium,Temperate,2021,WHO,Gov Report,Children Under 5,Unsafe,clear,cloudy,none,no,farming,none,lush,open dumping,yes,slow
Nigeria,Red Cross Reports Severe Water Crisis,Contaminated water sources have led to increased diarrheal diseases among children.,75.027242,Well,Flush Toilet,Agriculture,Male,Youth,Low,Rural Village,Medium,Temperate,2017,UNICEF,Academic Paper,Children Under 5,Unsafe,clear,clear,sewage,yes,sewage treatment,none,dead,none,yes,stagnant
Uganda,Outbreak Sparks Sanitation Review,No treatment observed; water smells foul and residents rely on unsafe open sources.,-15.4162895,Piped Water,Composting Toilet,Health,Female,Child,High,Refugee Camp,Dense,Arid,2025,Red Cross,Academic Paper,Disabled,Unsafe,brown,turbid,none,no,farming,waste facilities,lush,managed sites,yes,stagnant
Nigeria,Outbreak Sparks Sanitation Review,No treatment observed; water smells foul and residents rely on unsafe open sources.,-18.7857265,River,Flush Toilet,Agriculture,Male,Elderly,Low,Peri-Urban,Dense,Temperate,2016,UNICEF,Academic Paper,Disabled,Unsafe,green,clear,chemical,no,sewage treatment,none,lush,open dumping,yes,flowing
Haiti,Aid Workers Warn of Contamination Risks,Contaminated water sources have led to increased diarrheal diseases among children.,-22.2512715,Rainwater,Pit Latrine,Agriculture,Female,Adult,Low,Refugee Camp,Dense,Semi-Arid,2015,Save the Children,NGO Report,,Unsafe,clear,cloudy,sewage,no,none,none,lush,open dumping,yes,stagnant
Somalia,WHO Update: Improved Sanitation Efforts,"Residents now report consistent access to clean, odorless, and safe water.",-63.0442975,Piped Water,Pit Latrine,Education,Male,Child,Middle,Rural Village,Medium,Arid,2019,UNICEF,Gov Report,Pregnant Women,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Somalia,Red Cross Reports Severe Water Crisis,No treatment observed; water smells foul and residents rely on unsafe open sources.,-9.0985355,Piped Water,Pit Latrine,Education,Female,Elderly,High,Urban Slum,Sparse,Arid,2021,Water.org,Field Survey,,Unsafe,murky,turbid,chemical,yes,farming,waste facilities,dead,open dumping,yes,stagnant
Kenya,Local Health Board: Water Safety Achieved,Treated water systems have significantly reduced reported illnesses in the area.,87.0312985,Well,Open Defecation,Education,Male,Elderly,Middle,Peri-Urban,Dense,Semi-Arid,2016,WHO,Field Survey,Elderly,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Kenya,Aid Workers Warn of Contamination Risks,Contaminated water sources have led to increased diarrheal diseases among children.,-15.5333115,Protected Spring,Pit Latrine,Education,Female,Youth,Low,Rural Village,Sparse,Temperate,2016,UNICEF,Field Survey,Pregnant Women,Unsafe,murky,clear,sewage,yes,farming,none,dead,managed sites,no,slow
Nigeria,Red Cross Reports Severe Water Crisis,Contaminated water sources have led to increased diarrheal diseases among children.,34.5471285,Well,Flush Toilet,Education,Female,Child,Low,Refugee Camp,Dense,Temperate,2016,Water.org,Gov Report,Disabled,Unsafe,green,cloudy,chemical,no,farming,none,sparse,none,no,flowing
Bangladesh,WHO Update: Improved Sanitation Efforts,Treated water systems have significantly reduced reported illnesses in the area.,-20.6249585,Well,Flush Toilet,Public Infrastructure,Male,Youth,Low,Refugee Camp,Sparse,Arid,2022,Red Cross,Field Survey,Children Under 5,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Kenya,Red Cross Reports Severe Water Crisis,"Field reports indicate raw sewage mixes with local water, posing high health risks.",47.9918015,Truck Delivery,Composting Toilet,Education,Female,Adult,High,Rural Village,Medium,Semi-Arid,2023,Save the Children,NGO Report,Children Under 5,Unsafe,clear,cloudy,chemical,no,mining,none,dead,managed sites,yes,slow
Uganda,Outbreak Sparks Sanitation Review,Contaminated water sources have led to increased diarrheal diseases among children.,33.687853,Well,Flush Toilet,Education,Male,Elderly,Low,Rural Village,Sparse,Semi-Arid,2018,Red Cross,Academic Paper,Elderly,Unsafe,green,clear,sewage,yes,none,none,sparse,managed sites,no,flowing
DR Congo,Red Cross Reports Severe Water Crisis,No treatment observed; water smells foul and residents rely on unsafe open sources.,-58.1417945,Truck Delivery,Pit Latrine,Agriculture,Female,Adult,Middle,Urban Slum,Sparse,Temperate,2021,Save the Children,NGO Report,Children Under 5,Unsafe,clear,clear,none,no,sewage treatment,sewage lines,lush,open dumping,no,flowing
Nigeria,Red Cross Reports Severe Water Crisis,Contaminated water sources have led to increased diarrheal diseases among children.,-40.7833605,Piped Water,Open Defecation,Education,Male,Youth,Low,Peri-Urban,Medium,Semi-Arid,2024,Water.org,Field Survey,Disabled,Unsafe,green,clear,chemical,no,mining,none,dead,none,no,stagnant
DR Congo,WHO Update: Improved Sanitation Efforts,Treated water systems have significantly reduced reported illnesses in the area.,-46.6965155,Protected Spring,Composting Toilet,Public Infrastructure,Male,Adult,High,Urban Slum,Dense,Temperate,2017,Water.org,Academic Paper,,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Uganda,UNICEF Field Report on Water Quality,"Residents now report consistent access to clean, odorless, and safe water.",-49.5258075,Truck Delivery,Composting Toilet,Agriculture,Male,Child,High,Urban Slum,Medium,Semi-Arid,2015,WHO,Gov Report,Disabled,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Nepal,Outbreak Sparks Sanitation Review,Contaminated water sources have led to increased diarrheal diseases among children.,-27.318919,Piped Water,Flush Toilet,Education,Female,Child,Middle,Peri-Urban,Dense,Arid,2019,Red Cross,Gov Report,,Unsafe,green,clear,chemical,no,farming,waste facilities,sparse,none,yes,stagnant
India,Outbreak Sparks Sanitation Review,Contaminated water sources have led to increased diarrheal diseases among children.,-11.724918,Truck Delivery,Open Defecation,Agriculture,Male,Elderly,Middle,Peri-Urban,Dense,Semi-Arid,2025,UNICEF,NGO Report,Pregnant Women,Unsafe,murky,clear,sewage,yes,sewage treatment,waste facilities,dead,none,no,slow
DR Congo,Local Health Board: Water Safety Achieved,Public health officials confirm improved sanitation infrastructure and hygiene practices.,49.2630915,Borehole,Flush Toilet,Public Infrastructure,Female,Elderly,Low,Refugee Camp,Sparse,Tropical,2022,UNICEF,NGO Report,Elderly,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Uganda,Aid Workers Warn of Contamination Risks,"Field reports indicate raw sewage mixes with local water, posing high health risks.",-55.6102395,Piped Water,Pit Latrine,Public Infrastructure,Female,Adult,High,Urban Slum,Sparse,Temperate,2022,Save the Children,Field Survey,Elderly,Unsafe,clear,turbid,sewage,yes,sewage treatment,sewage lines,sparse,managed sites,no,stagnant
Nigeria,Aid Workers Warn of Contamination Risks,"Field reports indicate raw sewage mixes with local water, posing high health risks.",61.313083,Well,Flush Toilet,Agriculture,Male,Child,High,Peri-Urban,Sparse,Semi-Arid,2017,Save the Children,Academic Paper,Pregnant Women,Unsafe,clear,clear,none,yes,mining,waste facilities,lush,open dumping,yes,stagnant
Uganda,UNICEF Field Report on Water Quality,"Residents now report consistent access to clean, odorless, and safe water.",56.428509,River,Flush Toilet,Education,Male,Elderly,High,Refugee Camp,Medium,Semi-Arid,2021,Save the Children,Gov Report,Elderly,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Nigeria,Outbreak Sparks Sanitation Review,"Field reports indicate raw sewage mixes with local water, posing high health risks.",-69.751637,Protected Spring,Pit Latrine,Health,Male,Child,Middle,Rural Village,Dense,Arid,2022,Save the Children,Gov Report,Disabled,Unsafe,murky,cloudy,sewage,yes,sewage treatment,none,lush,open dumping,yes,slow
Somalia,UNICEF Field Report on Water Quality,Public health officials confirm improved sanitation infrastructure and hygiene practices.,-86.5649095,Protected Spring,Pit Latrine,Public Infrastructure,Male,Adult,High,Peri-Urban,Dense,Temperate,2017,Save the Children,NGO Report,Pregnant Women,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
India,Outbreak Sparks Sanitation Review,"Field reports indicate raw sewage mixes with local water, posing high health risks.",0.709453,Borehole,Composting Toilet,Education,Female,Elderly,Middle,Rural Village,Dense,Temperate,2017,Red Cross,Academic Paper,Disabled,Unsafe,murky,turbid,sewage,yes,none,waste facilities,sparse,managed sites,yes,flowing
DR Congo,UNICEF Field Report on Water Quality,Treated water systems have significantly reduced reported illnesses in the area.,28.218177,Piped Water,Flush Toilet,Health,Female,Child,High,Refugee Camp,Dense,Tropical,2025,Save the Children,NGO Report,Disabled,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Haiti,Red Cross Reports Severe Water Crisis,No treatment observed; water smells foul and residents rely on unsafe open sources.,9.6052555,Truck Delivery,Open Defecation,Education,Female,Child,Middle,Peri-Urban,Sparse,Tropical,2025,WHO,NGO Report,,Unsafe,brown,cloudy,sewage,yes,none,waste facilities,dead,managed sites,yes,stagnant
Nigeria,Outbreak Sparks Sanitation Review,No treatment observed; water smells foul and residents rely on unsafe open sources.,-6.807222,Truck Delivery,Composting Toilet,Agriculture,Female,Child,Middle,Urban Slum,Sparse,Semi-Arid,2017,Save the Children,Field Survey,Pregnant Women,Unsafe,clear,clear,sewage,yes,none,waste facilities,lush,open dumping,yes,slow
Kenya,Aid Workers Warn of Contamination Risks,No treatment observed; water smells foul and residents rely on unsafe open sources.,46.8673755,Truck Delivery,Pit Latrine,Public Infrastructure,Male,Child,Low,Peri-Urban,Sparse,Semi-Arid,2018,Red Cross,Academic Paper,,Unsafe,clear,clear,none,no,none,waste facilities,dead,none,yes,stagnant
Kenya,UNICEF Field Report on Water Quality,"Residents now report consistent access to clean, odorless, and safe water.",-83.4047205,Protected Spring,Open Defecation,Public Infrastructure,Female,Child,High,Urban Slum,Sparse,Temperate,2018,UNICEF,Gov Report,Elderly,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Nepal,WHO Update: Improved Sanitation Efforts,Public health officials confirm improved sanitation infrastructure and hygiene practices.,-78.9457235,River,Pit Latrine,Agriculture,Male,Child,Low,Refugee Camp,Dense,Temperate,2017,UNICEF,NGO Report,Children Under 5,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Nepal,Aid Workers Warn of Contamination Risks,No treatment observed; water smells foul and residents rely on unsafe open sources.,66.2002965,Rainwater,Flush Toilet,Health,Male,Elderly,Middle,Rural Village,Sparse,Semi-Arid,2024,Water.org,Field Survey,Disabled,Unsafe,brown,turbid,none,yes,sewage treatment,sewage lines,dead,managed sites,no,stagnant
DR Congo,Local Health Board: Water Safety Achieved,Public health officials confirm improved sanitation infrastructure and hygiene practices.,53.6501375,River,Flush Toilet,Public Infrastructure,Male,Youth,Low,Refugee Camp,Medium,Arid,2020,WHO,Gov Report,Children Under 5,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
DR Congo,Aid Workers Warn of Contamination Risks,No treatment observed; water smells foul and residents rely on unsafe open sources.,32.1183995,Borehole,Pit Latrine,Agriculture,Male,Child,High,Refugee Camp,Medium,Tropical,2021,Save the Children,Field Survey,Pregnant Women,Unsafe,brown,turbid,sewage,yes,sewage treatment,none,dead,managed sites,no,stagnant
Ethiopia,UNICEF Field Report on Water Quality,Public health officials confirm improved sanitation infrastructure and hygiene practices.,-0.1466405,Protected Spring,Flush Toilet,Education,Female,Youth,High,Refugee Camp,Sparse,Tropical,2016,Red Cross,Gov Report,Pregnant Women,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Nigeria,Aid Workers Warn of Contamination Risks,No treatment observed; water smells foul and residents rely on unsafe open sources.,13.056148,Protected Spring,Open Defecation,Health,Female,Youth,High,Rural Village,Sparse,Arid,2017,Red Cross,Gov Report,Pregnant Women,Unsafe,brown,turbid,sewage,yes,mining,waste facilities,sparse,open dumping,yes,flowing
DR Congo,Aid Workers Warn of Contamination Risks,Contaminated water sources have led to increased diarrheal diseases among children.,9.383519,Piped Water,Composting Toilet,Health,Female,Child,Middle,Refugee Camp,Sparse,Tropical,2022,UNICEF,Academic Paper,Pregnant Women,Unsafe,green,cloudy,chemical,no,farming,none,lush,open dumping,no,stagnant
Bangladesh,Aid Workers Warn of Contamination Risks,No treatment observed; water smells foul and residents rely on unsafe open sources.,3.416362,Protected Spring,Pit Latrine,Education,Male,Adult,Low,Rural Village,Sparse,Arid,2024,Save the Children,Gov Report,Children Under 5,Unsafe,clear,cloudy,sewage,yes,mining,waste facilities,dead,none,no,flowing
Nepal,Aid Workers Warn of Contamination Risks,Contaminated water sources have led to increased diarrheal diseases among children.,51.1781985,Truck Delivery,Open Defecation,Public Infrastructure,Male,Elderly,Middle,Rural Village,Medium,Tropical,2021,UNICEF,Field Survey,,Unsafe,murky,clear,none,no,farming,waste facilities,sparse,managed sites,no,stagnant
Ethiopia,Red Cross Reports Severe Water Crisis,Contaminated water sources have led to increased diarrheal diseases among children.,48.848497,Rainwater,Pit Latrine,Health,Female,Elderly,Low,Peri-Urban,Dense,Arid,2020,WHO,Field Survey,Pregnant Women,Unsafe,murky,turbid,chemical,no,sewage treatment,none,sparse,managed sites,no,flowing
DR Congo,UNICEF Field Report on Water Quality,Treated water systems have significantly reduced reported illnesses in the area.,58.4387515,Well,Pit Latrine,Public Infrastructure,Female,Adult,Low,Urban Slum,Dense,Arid,2015,WHO,Field Survey,Children Under 5,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Uganda,Outbreak Sparks Sanitation Review,No treatment observed; water smells foul and residents rely on unsafe open sources.,-0.073816,Rainwater,Composting Toilet,Health,Female,Youth,Middle,Peri-Urban,Dense,Arid,2017,WHO,Field Survey,Elderly,Unsafe,green,turbid,sewage,yes,farming,none,lush,managed sites,yes,slow
Nigeria,Outbreak Sparks Sanitation Review,No treatment observed; water smells foul and residents rely on unsafe open sources.,57.7820285,Protected Spring,Pit Latrine,Education,Female,Child,Middle,Refugee Camp,Dense,Temperate,2025,Water.org,Academic Paper,,Unsafe,green,cloudy,sewage,yes,mining,sewage lines,lush,none,no,stagnant
Kenya,UNICEF Field Report on Water Quality,Public health officials confirm improved sanitation infrastructure and hygiene practices.,-83.4047205,Protected Spring,Open Defecation,Public Infrastructure,Female,Child,High,Urban Slum,Sparse,Temperate,2018,UNICEF,Gov Report,Elderly,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Bangladesh,UNICEF Field Report on Water Quality,"Residents now report consistent access to clean, odorless, and safe water.",67.148518,Truck Delivery,Pit Latrine,Agriculture,Female,Child,High,Peri-Urban,Medium,Semi-Arid,2015,Water.org,Academic Paper,Children Under 5,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Nigeria,Outbreak Sparks Sanitation Review,Contaminated water sources have led to increased diarrheal diseases among children.,53.2051055,Truck Delivery,Flush Toilet,Education,Female,Adult,Middle,Rural Village,Dense,Arid,2025,Red Cross,Gov Report,Disabled,Unsafe,brown,cloudy,chemical,no,sewage treatment,none,dead,managed sites,no,slow
Bangladesh,Aid Workers Warn of Contamination Risks,No treatment observed; water smells foul and residents rely on unsafe open sources.,-21.358242,River,Open Defecation,Public Infrastructure,Female,Child,Low,Urban Slum,Dense,Tropical,2023,WHO,Academic Paper,Elderly,Unsafe,brown,turbid,sewage,yes,none,waste facilities,dead,managed sites,no,flowing
DR Congo,Aid Workers Warn of Contamination Risks,Contaminated water sources have led to increased diarrheal diseases among children.,77.446386,Borehole,Open Defecation,Public Infrastructure,Female,Elderly,Low,Peri-Urban,Sparse,Arid,2023,UNICEF,Gov Report,Children Under 5,Unsafe,clear,turbid,sewage,yes,farming,sewage lines,dead,open dumping,no,slow
DR Congo,WHO Update: Improved Sanitation Efforts,Public health officials confirm improved sanitation infrastructure and hygiene practices.,-73.6050055,Piped Water,Flush Toilet,Health,Female,Adult,Low,Urban Slum,Medium,Arid,2017,Save the Children,Academic Paper,,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
